Time,Latitude,Longitude,Altitude,Pressure,Temperature,Acceleration,Acceleration (x),Acceleration (y),Acceleration (z),,Velocity(z)
0.232911,-71,40,203.7075937,98923,23.3,1.094944747,0.052,0.09,1.09,,
0.236633,-71,40,202.9435008,98899,23.3,1.091379402,0.057,0.092,1.086,,
0.240809,-71,40,203.7075937,98912,23.3,1.090015596,0.053,0.09,1.085,,
0.244569,-71,40,202.9435008,98899,23.3,1.098327365,0.055,0.093,1.093,,
0.248076,-71,40,203.4528898,98906,23.3,1.097247921,0.055,0.092,1.092,,
0.251865,-71,40,202.603922,98912,23.3,1.094333587,0.058,0.091,1.089,,
0.255572,-71,40,203.7075937,98915,23.3,1.091045829,0.052,0.091,1.086,,
0.259373,-71,40,202.4341368,98918,23.3,1.096890605,0.056,0.087,1.092,,
0.262877,-71,40,203.1981922,98906,23.3,1.098345119,0.057,0.092,1.093,,
0.266394,-71,40,202.9435008,98906,23.3,1.094555161,0.059,0.093,1.089,,
0.270176,-71,40,202.8586051,98898,23.3,1.099561731,0.058,0.094,1.094,,
0.27397,-71,40,204.2170202,98906,23.3,1.092584551,0.051,0.086,1.088,,
0.277945,-71,40,203.7924964,98918,23.3,1.094799068,0.054,0.087,1.09,,
0.281977,-71,40,203.4528898,98909,23.3,1.097865657,0.054,0.088,1.093,,
0.285558,-71,40,203.3679899,98906,23.3,1.094095974,0.055,0.09,1.089,,
0.289434,-71,40,202.603922,98912,23.3,1.094623223,0.052,0.086,1.09,,
0.293469,-71,40,203.1132944,98909,23.3,1.101145767,0.055,0.091,1.096,,
0.297259,-71,40,203.1132944,98906,23.3,1.093100636,0.055,0.09,1.088,,
0.301195,-71,40,203.1981922,98911,23.3,1.094688997,0.05,0.088,1.09,,
0.304819,-71,40,202.4341368,98912,23.3,1.095308176,0.056,0.092,1.09,,
0.308327,-71,40,203.3679899,98906,23.3,1.095924267,0.055,0.088,1.091,,
0.312267,-71,40,203.1132944,98921,23.3,1.092919942,0.053,0.089,1.088,,
0.314375,-71,40,203.5377904,98899,23.3,1.088412146,0.054,0.094,1.083,,
0.316349,-71,40,202.4341368,98899,23.3,1.096241306,0.058,0.09,1.091,,
0.318517,-71,40,203.4528898,98927,23.3,1.096271408,0.057,0.091,1.091,,
0.320384,-71,40,203.1132944,98915,23.3,1.094212502,0.054,0.092,1.089,,
0.322402,-71,40,203.7075937,98911,23.3,1.097884329,0.051,0.09,1.093,,
0.325275,-71,40,202.603922,98915,23.3,1.098261808,0.057,0.091,1.093,,
0.328999,-71,40,203.5377904,98912,23.3,1.091812255,0.054,0.087,1.087,,
0.332896,-71,40,203.3679899,98918,23.3,1.094799068,0.054,0.087,1.09,,
0.336628,-71,40,203.1132944,98920,23.3,1.090816667,0.054,0.087,1.086,,
0.340473,-71,40,202.603922,98918,23.3,1.093285873,0.057,0.091,1.088,,
0.346245,-71,40,202.3492453,98917,23.3,1.09509132,0.055,0.09,1.09,,
0.34831,-71,40,202.1794642,98915,23.3,1.09566692,0.053,0.086,1.091,,
0.350215,-71,40,202.4341368,98912,23.3,1.095224634,0.056,0.091,1.09,,
0.352316,-71,40,202.603922,98909,23.3,1.093050776,0.054,0.09,1.088,,
0.354166,-71,40,202.9435008,98914,23.3,1.096711448,0.054,0.086,1.092,,
0.357784,-71,40,202.1794642,98914,23.3,1.094851588,0.05,0.09,1.09,,
0.361662,-71,40,202.6888157,98912,23.3,1.096154186,0.053,0.092,1.091,,
0.365317,-71,40,203.3679899,98912,23.3,1.096888782,0.051,0.09,1.092,,
0.369173,-71,40,202.9435008,98908,23.3,1.09780736,0.056,0.086,1.093,,
0.372845,-71,40,202.6888157,98926,23.3,1.090866628,0.055,0.087,1.086,,
0.378191,-71,40,202.4341368,98914,23.3,1.093659453,0.051,0.087,1.089,,
0.380243,-71,40,203.1132944,98908,23.3,1.093786542,0.052,0.088,1.089,,
0.382017,-71,40,202.6888157,98921,23.3,1.097154957,0.058,0.089,1.092,,
0.384049,-71,40,202.3492453,98909,23.3,1.092156124,0.056,0.09,1.087,,
0.387905,-71,40,203.1981922,98914,23.3,1.097247921,0.055,0.092,1.092,,
0.391431,-71,40,202.4341368,98908,23.3,1.101363246,0.056,0.093,1.096,,
0.395355,-71,40,202.6888157,98911,23.3,1.096202992,0.054,0.092,1.091,,
0.399269,-71,40,203.4528898,98911,23.3,1.094262309,0.055,0.092,1.089,,
0.403054,-71,40,203.1981922,98909,23.3,1.092838963,0.053,0.088,1.088,,
0.406999,-71,40,202.6888157,98912,23.3,1.092105306,0.055,0.09,1.087,,
0.410919,-71,40,203.3679899,98909,23.3,1.094313027,0.056,0.092,1.089,,
0.412985,-71,40,202.8586051,98923,23.3,1.095940236,0.052,0.09,1.091,,
0.415049,-71,40,202.6888157,98918,23.3,1.095041552,0.054,0.09,1.09,,
0.418546,-71,40,202.1794642,98915,23.3,1.092778569,0.05,0.089,1.088,,
0.422386,-71,40,202.603922,98924,23.3,1.100952315,0.056,0.088,1.096,,
0.426415,-71,40,203.1132944,98927,23.3,1.099041855,0.056,0.089,1.094,,
0.430012,-71,40,202.1794642,98908,23.3,1.094022395,0.05,0.092,1.089,,
0.433617,-71,40,204.2170202,98912,23.3,1.097689391,0.052,0.087,1.093,,
0.437593,-71,40,203.1981922,98914,23.3,1.092023351,0.055,0.089,1.087,,
0.441329,-71,40,203.1132944,98917,23.3,1.096870093,0.054,0.088,1.092,,
0.445233,-71,40,202.6888157,98914,23.3,1.09300183,0.053,0.09,1.088,,
0.447311,-71,40,202.8586051,98908,23.3,1.091456367,0.06,0.091,1.086,,
0.450014,-71,40,202.9435008,98915,23.3,1.097149488,0.053,0.092,1.092,,
0.453933,-71,40,202.4341368,98914,23.3,1.095874537,0.054,0.088,1.091,,
0.457716,-71,40,202.6888157,98912,23.3,1.100169987,0.057,0.09,1.095,,
0.461488,-71,40,202.8586051,98908,23.3,1.096036952,0.054,0.09,1.091,,
0.465397,-71,40,201.9247979,98906,23.3,1.095811571,0.051,0.089,1.091,,
0.468948,-71,40,203.3679899,98918,23.3,1.098277743,0.054,0.093,1.093,,
0.47275,-71,40,203.7075937,98920,23.3,1.097426991,0.056,0.081,1.093,,
0.476659,-71,40,202.6888157,98917,23.3,1.093613277,0.05,0.087,1.089,,
0.480485,-71,40,203.3679899,98905,23.3,1.095041552,0.054,0.09,1.09,,
0.482621,-71,40,203.1981922,98909,23.3,1.094899539,0.056,0.087,1.09,,
0.486266,-71,40,203.1132944,98917,23.3,1.100233612,0.055,0.092,1.095,,
0.489756,-71,40,203.3679899,98911,23.3,1.096271408,0.057,0.091,1.091,,
0.49377,-71,40,203.4528898,98923,23.3,1.095299502,0.059,0.09,1.09,,
0.497279,-71,40,202.1794642,98912,23.3,1.096137309,0.056,0.09,1.091,,
0.500881,-71,40,202.9435008,98918,23.3,1.09652451,0.057,0.094,1.091,,
0.504777,-71,40,203.7075937,98914,23.3,1.092151088,0.059,0.088,1.087,,
0.508325,-71,40,203.7924964,98914,23.3,1.094830124,0.053,0.088,1.09,,
0.512036,-71,40,203.1132944,98914,23.3,1.096935732,0.052,0.09,1.092,,
0.515871,-71,40,203.1981922,98906,23.3,1.09404616,0.054,0.09,1.089,,
0.517985,-71,40,203.1981922,98918,23.3,1.092257753,0.053,0.093,1.087,,
0.520044,-71,40,202.6888157,98908,23.3,1.088971992,0.052,0.09,1.084,,
0.522017,-71,40,202.6888157,98918,23.3,1.09509132,0.055,0.09,1.09,,
0.524601,-71,40,203.1981922,98917,23.3,1.094178687,0.055,0.091,1.089,,
0.526659,-71,40,202.8586051,98915,23.3,1.097185946,0.052,0.093,1.092,,
0.528407,-71,40,203.1132944,98915,23.3,1.096055656,0.056,0.089,1.091,,
0.530269,-71,40,202.9435008,98912,23.3,1.09635487,0.057,0.092,1.091,,
0.532312,-71,40,203.8773997,98905,23.3,1.096491678,0.058,0.093,1.091,,
0.534138,-71,40,202.603922,98908,23.3,1.094178687,0.055,0.091,1.089,,
0.537933,-71,40,202.9435008,98911,23.3,1.095564238,0.056,0.095,1.09,,
0.539996,-71,40,202.1794642,98911,23.3,1.094928765,0.055,0.088,1.09,,
0.541835,-71,40,202.8586051,98909,23.3,1.092044871,0.057,0.088,1.087,,
0.543938,-71,40,203.1981922,98917,23.3,1.098974522,0.053,0.09,1.094,,
0.545908,-71,40,203.9623038,98920,23.3,1.090575536,0.059,0.093,1.085,,
0.54769,-71,40,202.1794642,98911,23.3,1.09615966,0.058,0.089,1.091,,
0.549758,-71,40,203.3679899,98921,23.3,1.096935732,0.052,0.09,1.092,,
0.551572,-71,40,202.9435008,98906,23.3,1.0922605,0.058,0.09,1.087,,
0.553455,-71,40,203.1132944,98914,23.3,1.098597743,0.055,0.084,1.094,,
0.557298,-71,40,202.8586051,98914,23.3,1.096362166,0.052,0.095,1.091,,
0.56115,-71,40,203.1132944,98905,23.3,1.097467995,0.056,0.094,1.092,,
0.563396,-71,40,203.3679899,98912,23.3,1.094910955,0.053,0.089,1.09,,
0.565426,-71,40,202.6888157,98923,23.3,1.090147696,0.054,0.091,1.085,,
0.567389,-71,40,202.8586051,98908,23.3,1.099543996,0.056,0.095,1.094,,
0.569171,-71,40,204.0472086,98905,23.3,1.093069531,0.056,0.089,1.088,,
0.571374,-71,40,204.3019271,98899,23.3,1.089911464,0.049,0.091,1.085,,
